rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.727,"priority=0.727; role=coordinator; in=24; out=62; PageRank=0.002029. Высокий PageRank=0.002029, входов=24, выходов=62"
2,100000002224132100,coordinator,0.693,"priority=0.693; role=coordinator; in=5; out=4; PageRank=0.006085. Высокий PageRank=0.006085, входов=5, выходов=4"
3,100000008603629100,coordinator,0.579,"priority=0.579; role=coordinator; in=19; out=61; PageRank=0.001197. Высокий PageRank=0.001197, входов=19, выходов=61"
4,100000000331309100,distributor,0.553,"priority=0.553; role=distributor; in=5; out=99; PageRank=0.000879. Отправляет 99 получателям, исходящая сумма=23001375 KZT"
5,100000003016635100,coordinator,0.511,"priority=0.511; role=coordinator; in=8; out=73; PageRank=0.001195. Высокий PageRank=0.001195, входов=8, выходов=73"
6,100000008477350100,coordinator,0.425,"priority=0.425; role=coordinator; in=11; out=39; PageRank=0.001039. Высокий PageRank=0.001039, входов=11, выходов=39"
7,100000006866783100,distributor,0.421,"priority=0.421; role=distributor; in=13; out=67; PageRank=0.000874. Отправляет 67 получателям, исходящая сумма=3948037 KZT"
8,100000004603109100,coordinator,0.396,"priority=0.396; role=coordinator; in=3; out=2; PageRank=0.003227. Высокий PageRank=0.003227, входов=3, выходов=2"
9,100000004221668100,coordinator,0.391,"priority=0.391; role=coordinator; in=4; out=3; PageRank=0.003109. Высокий PageRank=0.003109, входов=4, выходов=3"
10,100000002398779100,coordinator,0.389,"priority=0.389; role=coordinator; in=13; out=1; PageRank=0.001607. Высокий PageRank=0.001607, входов=13, выходов=1"
11,100000002741024100,coordinator,0.389,"priority=0.389; role=coordinator; in=5; out=6; PageRank=0.002881. Высокий PageRank=0.002881, входов=5, выходов=6"
12,100000004015047100,coordinator,0.385,"priority=0.385; role=coordinator; in=9; out=1; PageRank=0.002286. Высокий PageRank=0.002286, входов=9, выходов=1"
13,100000000706545100,coordinator,0.381,"priority=0.381; role=coordinator; in=3; out=1; PageRank=0.003278. Высокий PageRank=0.003278, входов=3, выходов=1"
14,100000001677929100,coordinator,0.38,"priority=0.380; role=coordinator; in=3; out=2; PageRank=0.003343. Высокий PageRank=0.003343, входов=3, выходов=2"
15,100000002527114100,distributor,0.378,"priority=0.378; role=distributor; in=3; out=111; PageRank=0.000815. Отправляет 111 получателям, исходящая сумма=3289249 KZT"
16,100000004892144100,coordinator,0.374,"priority=0.374; role=coordinator; in=2; out=1; PageRank=0.002827. Высокий PageRank=0.002827, входов=2, выходов=1"
17,100000002578405100,distributor,0.37,"priority=0.370; role=distributor; in=2; out=116; PageRank=0.000572. Отправляет 116 получателям, исходящая сумма=3108352 KZT"
18,100000004400305100,distributor,0.367,"priority=0.367; role=distributor; in=7; out=82; PageRank=0.000388. Отправляет 82 получателям, исходящая сумма=5830181 KZT"
19,100000000437046100,distributor,0.365,"priority=0.365; role=distributor; in=9; out=42; PageRank=0.000796. Отправляет 42 получателям, исходящая сумма=7606224 KZT"
20,100000002733905100,coordinator,0.36,"priority=0.360; role=coordinator; in=3; out=2; PageRank=0.002938. Высокий PageRank=0.002938, входов=3, выходов=2"
